Protein,Gene,p-value_PPHE vs CT,Fold Change_PPHE vs CT,p-value_PPHE vs TP,Fold Change_PPHE vs TP
P04632,CPNS1,0.0093,0.0566340166531732,0.02193,0.0176779234642583
P06396-2,GELS,0.00092,0.0547832208237973,0.00963,0.0323280803724722
P18621,RL17,0.01423,0.0516039168066604,0.03652,0.0570736822555871
O00232,PSD12,0.13888,0.0493102746049853,0.03458,0.00708530788320055
Q9NQC3,RTN4,0.18781,0.0451247249851723,0.33682,0.436732466387143
P68036,UB2L3,0.10427,0.0411937684853735,0.10748,0.0613829679297415
P50452,SPB8,0.17002,0.0347579680209754,0.05654,0.0456670443873105
Q99584,S10AD,0.04267,0.0342376918955742,0.0094,0.138898943064604
P60953,CDC42,0.03098,0.0325235174030499,0.05406,0.0415893389917838
O00571,DDX3X,0.10766,0.0304681926257707,0.20691,0.00623090068936445
P46821,MAP1B,0.00163,0.0277728375953626,0.02032,0.0193540501603274
Q12905,ILF2,0.0819,0.0267631544293642,0.33531,0.0297066316477835
P07339,CATD,0.01539,0.0255170792177637,0.00762,0.174889142693026
P49721,PSB2,0.1276,0.0243352549706476,0.06887,0.01752697014528
Q92598-2,HS105,0.04142,0.0215735583955823,0.11954,0.0133142542403928
Q5T7P8-2,SYT6,0.148,0.0192956319282735,0.06573,0.0176262893848417
Q16881,TRXR1,0.01659,0.0168967743090988,0.1567,0.0115102321003937
O75874,IDHC,0.08605,0.0161698106264071,0.05057,0.0146104603805619
Q02878,RL6,0.06132,0.0153461693640662,0.12067,0.0408827120234312
P55072,TERA,0.0054,0.0141646900508582,2.3214e-05,0.0148867830136249
O15511-2,ARPC5,0.02676,0.0139327934016762,0.01439,0.0195928304694527
P61163,ACTZ,0.10242,0.0125183845523768,0.06833,0.00366860572327111
P41250,GARS,9.9742e-05,0.00752414535392567,0.06981,0.0116420161262788
Q9P2E9-2,RRBP1,0.15777,0.00721304000332181,0.04268,0.00514369098161498
P08195,4F2,0.20691,0.005341740650524,0.0114,0.0228842591590119
P07858,CATB,0.0363,0.00407756908876478,0.07399,0.00826355878711763
Q9Y616,IRAK3,0.10506,0.00383256763705465,0.33569,0.00475747083601396
Q99471,PFD5,0.00111,0.00323416624402882,0.01975,0.00906180863336133
